,Unnamed: 0,Prices,Images,cars,location,model,driven,engine variant,auto\manual,Registered,Color,Assembly,Engine Capacity,Body Type,Features,ratings,img1,img2,img3,img4,img5
0,0,"PKR 29 lacs
Financing starts at PKR 71,549/Month","['https://cache1.pakwheels.com/ad_pictures/1135/suzuki-swift-dlx-1-3-navigation-2020-113543397.webp', 'https://cache2.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112259133.webp', 'https://cache4.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112259135.webp', 'https://cache2.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112259136.webp', 'https://cache2.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112256632.webp', 'https://cache3.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112256628.webp', 'https://cache3.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112256626.webp', 'https://cache4.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112256631.webp', 'https://cache2.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112256629.webp', 'https://cache4.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112257471.webp', 'https://cache1.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112257474.webp', 'https://cache2.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112257472.webp', 'https://cache1.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112259134.webp', 'https://cache1.pakwheels.com/ad_pictures/1128/suzuki-swift-dlx-1-3-navigation-2020-112836921.webp', 'https://cache1.pakwheels.com/ad_pictures/1128/suzuki-swift-dlx-1-3-navigation-2020-112836920.webp']",Suzuki Swift DLX 1.3 Navigation 2020,"['I-', '8,', 'Islamabad', 'Islamabad', 'Added']",'2020',"60,000 km",'Petrol','Manual','Islamabad','White',,'1300cc','Hatchback','ABS' 'AMFM Radio' 'Air Bags' 'Air Conditioning' 'Alloy Rims' 'CD Player' 'DVD Player' 'Immobilizer Key' 'Keyless Entry' 'Navigation System' 'Power Locks' 'Power Mirrors' 'Power Steering' 'Power Windows',,['https://cache1.pakwheels.com/ad_pictures/1135/suzuki-swift-dlx-1-3-navigation-2020-113543397.webp', 'https://cache2.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112259133.webp', 'https://cache4.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112259135.webp', 'https://cache2.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112259136.webp', 'https://cache2.pakwheels.com/ad_pictures/1122/suzuki-swift-dlx-1-3-navigation-2020-112256632.webp'
1,1,PKR 40.75 lacs,"['https://cache3.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596199.webp', 'https://cache2.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596200.webp', 'https://cache2.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596201.webp', 'https://cache3.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596202.webp', 'https://cache4.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596203.webp', 'https://cache2.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596204.webp', 'https://cache2.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596205.webp', 'https://cache1.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596206.webp', 'https://cache3.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596207.webp']",Honda Civic Oriel Prosmatec UG 2013,"['Marghzar', 'Officers', 'Colony,', 'Lahore', 'Punjab']",'2013',"33,000 km",'Petrol','Automatic','Punjab','AlabasterSilver','Local','1800cc','Sedan','ABS' 'AMFM Radio' 'Air Bags' 'Air Conditioning' 'Alloy Rims' 'CD Player' 'Climate Control' 'Cruise Control' 'Front Speakers' 'Immobilizer Key' 'Keyless Entry' 'Navigation System' 'Power Locks' 'Power Mirrors' 'Power Steering',,['https://cache3.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596199.webp', 'https://cache2.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596200.webp', 'https://cache2.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596201.webp', 'https://cache3.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596202.webp', 'https://cache4.pakwheels.com/ad_pictures/1135/honda-civic-oriel-prosmatec-ug-2013-113596203.webp'
2,2,"PKR 84.75 lacs
Financing starts at PKR 104,548/Month","['https://cache2.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608038.webp', 'https://cache1.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608065.webp', 'https://cache1.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608066.webp', 'https://cache3.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608067.webp', 'https://cache3.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608068.webp', 'https://cache4.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608069.webp', 'https://cache2.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608070.webp', 'https://cache2.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608075.webp', 'https://cache2.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608093.webp', 'https://cache2.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608097.webp', 'https://cache2.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608106.webp', 'https://cache2.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608107.webp', 'https://cache1.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608108.webp', 'https://cache3.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608110.webp', 'https://cache3.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608111.webp']",Honda Civic 1.5 RS Turbo 2022,"['Islamabad', 'Islamabad']",'2022',"48,000 km",'Petrol','Automatic','Islamabad','Grey','Local','1500cc','Sedan','ABS' 'AMFM Radio' 'Air Bags' 'Air Conditioning' 'Alloy Rims' 'Cruise Control' 'DVD Player' 'Immobilizer Key' 'Keyless Entry' 'Navigation System' 'Power Locks' 'Power Mirrors' 'Power Steering' 'Power Windows' 'Sun Roof',4.2,['https://cache2.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608038.webp', 'https://cache1.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608065.webp', 'https://cache1.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608066.webp', 'https://cache3.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608067.webp', 'https://cache3.pakwheels.com/ad_pictures/1116/honda-civic-1-5-rs-turbo-2022-111608068.webp'
3,3,"PKR 51.8 lacs
Financing starts at PKR 100,416/Month","['https://cache2.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573152.webp', 'https://cache3.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573156.webp', 'https://cache2.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573161.webp', 'https://cache1.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573154.webp', 'https://cache3.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573158.webp', 'https://cache3.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573159.webp', 'https://cache3.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573151.webp', 'https://cache2.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573150.webp', 'https://cache3.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573163.webp', 'https://cache1.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573164.webp', 'https://cache3.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573162.webp', 'https://cache2.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573153.webp', 'https://cache1.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573157.webp', 'https://cache1.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573165.webp', 'https://cache1.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573160.webp']",Honda City 1.5L ASPIRE CVT 2022,"['Khanna', 'Pul,', 'Rawalpindi', 'Punjab']",'2022',"57,780 km",'Petrol','Automatic','Islamabad','TaffetaWhite','Local','1500cc','Compactsedan','ABS' 'AMFM Radio' 'Air Bags' 'Air Conditioning' 'Alloy Rims' 'Cruise Control' 'Immobilizer Key' 'Keyless Entry' 'Navigation System' 'Power Locks' 'Power Mirrors' 'Power Steering' 'Power Windows',4.2,['https://cache2.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573152.webp', 'https://cache3.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573156.webp', 'https://cache2.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573161.webp', 'https://cache1.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573154.webp', 'https://cache3.pakwheels.com/ad_pictures/1135/honda-city-1-5l-aspire-cvt-2022-113573158.webp'
4,4,PKR 47.5 lacs,"['https://cache3.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784192.webp', 'https://cache3.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784191.webp', 'https://cache3.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784189.webp', 'https://cache4.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784182.webp', 'https://cache1.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784184.webp', 'https://cache2.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784185.webp', 'https://cache1.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784183.webp', 'https://cache3.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784187.webp', 'https://cache1.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784186.webp', 'https://cache3.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784188.webp', 'https://cache2.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784190.webp']",Honda Vezel Hybrid Z Honda Sensing 2016,"['Khalid', 'Bin', 'Walid', 'Road,', 'Karachi']",'2016',"92,000 km",'Hybrid','Automatic','Karachi','WhitePearl','Imported','1500cc','Crossover','ABS' 'AMFM Radio' 'Air Bags' 'Air Conditioning' 'Alloy Rims' 'CD Player' 'Cruise Control' 'DVD Player' 'Immobilizer Key' 'Keyless Entry' 'Navigation System' 'Power Locks' 'Power Mirrors' 'Power Steering' 'Power Windows',4.2,['https://cache3.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784192.webp', 'https://cache3.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784191.webp', 'https://cache3.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784189.webp', 'https://cache4.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784182.webp', 'https://cache1.pakwheels.com/ad_pictures/1127/honda-vezel-hybrid-z-honda-sensing-2016-112784184.webp'
5,5,"PKR 36.5 lacs
Financing starts at PKR 91,322/Month","['https://cache2.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142057.webp', 'https://cache3.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142055.webp', 'https://cache2.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142058.webp', 'https://cache1.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142061.webp', 'https://cache4.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142054.webp', 'https://cache1.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142052.webp', 'https://cache4.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142053.webp', 'https://cache4.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142060.webp', 'https://cache2.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142056.webp', 'https://cache1.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142059.webp']",Toyota Corolla Altis Automatic 1.6 2015,"['Khalid', 'Bin', 'Walid', 'Road,', 'Karachi']",'2015',"104,000 km",'Petrol','Automatic','Karachi','DoradoGold','Local','1600cc','Sedan','ABS' 'AMFM Radio' 'Air Bags' 'Air Conditioning' 'Alloy Rims' 'CD Player' 'DVD Player' 'Immobilizer Key' 'Keyless Entry' 'Navigation System' 'Power Locks' 'Power Mirrors' 'Power Steering' 'Power Windows',4.2,['https://cache2.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142057.webp', 'https://cache3.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142055.webp', 'https://cache2.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142058.webp', 'https://cache1.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142061.webp', 'https://cache4.pakwheels.com/ad_pictures/1131/toyota-corolla-altis-1-6-automatic-2015-113142054.webp'
6,6,PKR 85 lacs,"['https://cache4.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587892.webp', 'https://cache1.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587893.webp', 'https://cache2.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587894.webp', 'https://cache2.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587895.webp', 'https://cache3.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587896.webp', 'https://cache4.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587897.webp', 'https://cache4.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587899.webp', 'https://cache4.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587900.webp', 'https://cache4.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587901.webp', 'https://cache2.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587902.webp', 'https://cache3.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587903.webp', 'https://cache3.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587904.webp', 'https://cache1.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587905.webp', 'https://cache4.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587906.webp']",Honda Vezel Hybrid Z Style Edition 2019,"['Islamabad', 'Islamabad']",'2019',"19,000 km",'Petrol','Automatic','UnRegistered','Black','Imported','1500cc','Crossover','ABS' 'AMFM Radio' 'Air Bags' 'Air Conditioning' 'Alloy Rims' 'CD Player' 'Cruise Control' 'DVD Player' 'Immobilizer Key' 'Keyless Entry' 'Navigation System' 'Power Locks' 'Power Mirrors' 'Power Steering' 'Power Windows',4.2,['https://cache4.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587892.webp', 'https://cache1.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587893.webp', 'https://cache2.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587894.webp', 'https://cache2.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587895.webp', 'https://cache3.pakwheels.com/ad_pictures/1075/honda-vezel-hybrid-z-style-edition-2019-107587896.webp'
7,7,"PKR 13.5 lacs
Financing starts at PKR 23,071/Month","['https://cache2.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233103.webp', 'https://cache2.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233104.webp', 'https://cache2.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233111.webp', 'https://cache1.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233116.webp', 'https://cache2.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233117.webp', 'https://cache3.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233118.webp', 'https://cache2.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233119.webp', 'https://cache3.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233120.webp', 'https://cache2.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233121.webp', 'https://cache4.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233122.webp']",Suzuki Mehran VX Euro II 2018,"['Islamabad', 'Islamabad']",'2018',"75,000 km",'Petrol','Manual','Lahore','White','Local','800cc','Hatchback','AMFM Radio' 'CD Player' 'Immobilizer Key',,['https://cache2.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233103.webp', 'https://cache2.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233104.webp', 'https://cache2.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233111.webp', 'https://cache1.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233116.webp', 'https://cache2.pakwheels.com/ad_pictures/1112/suzuki-mehran-vx-euro-ii-2018-111233117.webp'
8,14,"PKR 26.8 lacs
Financing starts at PKR 45,800/Month","['https://cache3.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941762.webp', 'https://cache2.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941765.webp', 'https://cache4.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941767.webp', 'https://cache3.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941789.webp', 'https://cache1.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941791.webp', 'https://cache3.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941797.webp', 'https://cache3.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941799.webp', 'https://cache3.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941800.webp', 'https://cache2.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941807.webp', 'https://cache4.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941810.webp', 'https://cache4.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941811.webp']",Suzuki Alto VXL AGS 2021,"['Islamabad', 'Islamabad']",'2021',"45,000 km",'Petrol','Automatic','Islamabad','White','Local','660cc','Hatchback','ABS' 'AMFM Radio' 'Air Bags' 'Air Conditioning' 'Immobilizer Key' 'Keyless Entry' 'Power Locks' 'Power Mirrors' 'Power Steering' 'Power Windows',,['https://cache3.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941762.webp', 'https://cache2.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941765.webp', 'https://cache4.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941767.webp', 'https://cache3.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941789.webp', 'https://cache1.pakwheels.com/ad_pictures/1129/suzuki-alto-vxl-2-2021-112941791.webp'
9,15,PKR 43 lacs,"['https://cache2.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336392.webp', 'https://cache3.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336393.webp', 'https://cache4.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336394.webp', 'https://cache4.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336395.webp', 'https://cache4.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336396.webp', 'https://cache1.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336397.webp', 'https://cache1.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336398.webp', 'https://cache4.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336399.webp', 'https://cache4.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336401.webp', 'https://cache3.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336404.webp', 'https://cache3.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336405.webp', 'https://cache1.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336410.webp']",Toyota Camry Up-Spec Automatic 2.4 2008,"['Islamabad', 'Islamabad']",'2008',"121,000 km",'Petrol','Automatic','Islamabad','Silver','Imported','2400cc','Sedan','ABS' 'AMFM Radio' 'Air Bags' 'Air Conditioning' 'Alloy Rims' 'CD Player' 'Cruise Control' 'DVD Player' 'Immobilizer Key' 'Keyless Entry' 'Power Locks' 'Power Mirrors' 'Power Steering' 'Power Windows' 'Sun Roof',4.2,['https://cache2.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336392.webp', 'https://cache3.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336393.webp', 'https://cache4.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336394.webp', 'https://cache4.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336395.webp', 'https://cache4.pakwheels.com/ad_pictures/1103/toyota-camry-2-4-up-specs-2008-110336396.webp'
